CPTCode,CPTLongDesc
17108,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); over 50.0 sq cm"
17110,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; up to 14 lesions"
17111,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; 15 or more lesions"
17200,DELETED CODE
17201,DELETED CODE
17250,"Chemical cauterization of granulation tissue (ie, proud flesh)"
17260,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 0.5 cm or less"
17261,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 0.6 to 1.0 cm"
17262,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 1.1 to 2.0 cm"
17263,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 2.1 to 3.0 cm"
17264,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 3.1 to 4.0 cm"
17266,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter over 4.0 cm"
17270,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less"
17271,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm"
17272,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm"
17273,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 2.1 to 3.0 cm"
17274,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 3.1 to 4.0 cm"
17276,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter over 4.0 cm"
17280,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less"
17281,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm"
17282,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm"
17283,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 2.1 to 3.0 cm"
17284,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 3.1 to 4.0 cm"
17286,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 4.0 cm"
17300,DELETED CODE
17301,DELETED CODE
17302,DELETED CODE
17303,DELETED CODE
17304,CHMSRG MOHS MG 1ST STG FRSH TISS TQ UP 5 SPEC
17305,CHMSRG MOHS MG 2ND STG FXD/FRSH TISS UP 5 SPEC
17306,CHMSRG MOHS MG 3RD STG FXD/FRSH TISS UP 5 SPEC
17307,CHMSRG MOHS MG ADDL STG UP 5 SPEC EA STG
17310,CHMSRG MOHS MG EA SPEC AFTER 1ST 5 SPEC
17311,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), head, neck, hands, feet, genitalia, or any location with surgery directly involving muscle, cartilage, bone, tendon, major nerves, or vessels; first stage, up to 5 tissue blocks"
17312,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), head, neck, hands, feet, genitalia, or any location with surgery directly involving muscle, cartilage, bone, tendon, major nerves, or vessels; each additional stage after the first stage, up to 5 tissue blocks (List separately in addition to code for primary procedure)"
17313,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), of the trunk, arms, or legs; first stage, up to 5 tissue blocks"
17314,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), of the trunk, arms, or legs; each additional stage after the first stage, up to 5 tissue blocks (List separately in addition to code for primary procedure)"
17315,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), each additional block after the first 5 tissue blocks, any stage (List separately in addition to code for primary procedure)"
17340,"Cryotherapy (CO2 slush, liquid N2) for acne"
17360,"Chemical exfoliation for acne (eg, acne paste, acid)"
17380,"Electrolysis epilation, each 30 minutes"
17999,"Unlisted procedure, skin, mucous membrane and subcutaneous tissue"
19000,Puncture aspiration of cyst of breast
19001,Puncture aspiration of cyst of breast; each additional cyst (List separately in addition to code for primary procedure)
19020,"Mastotomy with exploration or drainage of abscess, deep"
19030,Injection procedure only for mammary ductogram or galactogram
19081,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including stereotactic guidance"
19082,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including stereotactic guidance (List separately in addition to code for primary procedure)"
19083,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including ultrasound guidance"
19084,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including ultrasound guidance (List separately in addition to code for primary procedure)"
19085,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including magnetic resonance guidance"
19086,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including magnetic resonance guidance (List separately in addition to code for primary procedure)"
19100,"Biopsy of breast; percutaneous, needle core, not using imaging guidance (separate procedure)"
19101,"Biopsy of breast; open, incisional"
19102,"Biopsy of breast; percutaneous, needle core, using imaging guidance"
19103,"Biopsy of breast; percutaneous, automated vacuum assisted or rotating biopsy device, using imaging guidance"
19105,"Ablation, cryosurgical, of fibroadenoma, including ultrasound guidance, each fibroadenoma"
19110,"Nipple exploration, with or without excision of a solitary lactiferous duct or a papilloma lactiferous duct"
19112,Excision of lactiferous duct fistula
19120,"Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion (except 19300), open, male or female, 1 or more lesions"
19125,"Excision of breast lesion identified by preoperative placement of radiological marker, open; single lesion"
19126,"Excision of breast lesion identified by preoperative placement of radiological marker, open; each additional lesion separately identified by a preoperative radiological marker (List separately in addition to code for primary procedure)"
19140,MAST GYNECOMASTIA
19160,MAST PRTL
19162,MAST PRTL W/AX LMPHADEC
19180,MAST SMPL COMPL
19182,MAST SUBQ
19184,DELETED CODE
19185,DELETED CODE
19186,DELETED CODE
19187,DELETED CODE
19200,MAST RAD W/PECTORAL MUSC AX LYMPH NOD
19211,DELETED CODE
19212,DELETED CODE
19213,DELETED CODE
19214,DELETED CODE
19215,DELETED CODE
19216,DELETED CODE
19220,MAST RAD W/PECTORAL MUSC AX&INT MAM LYMPH NOD
19224,DELETED CODE
19225,DELETED CODE
19226,DELETED CODE
19227,DELETED CODE
19228,DELETED CODE
19229,DELETED CODE
19240,MAST MODF RAD W/AX LYMPH NOD +-PECTORALIS MINOR
19250,DELETED CODE
19251,DELETED CODE
19252,DELETED CODE
19253,DELETED CODE
19254,DELETED CODE
19255,DELETED CODE
19260,Excision of chest wall tumor including ribs
19271,"Excision of chest wall tumor involving ribs, with plastic reconstruction; without mediastinal lymphadenectomy"
19272,"Excision of chest wall tumor involving ribs, with plastic reconstruction; with mediastinal lymphadenectomy"
19281,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including mammographic guidance"
19282,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including mammographic guidance (List separately in addition to code for primary procedure)"
19283,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including stereotactic guidance"
19284,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including stereotactic guidance (List separately in addition to code for primary procedure)"
19285,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including ultrasound guidance"
19286,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including ultrasound guidance (List separately in addition to code for primary procedure)"
19287,"Placement of breast localization device(s) (eg clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including magnetic resonance guidance"
19288,"Placement of breast localization device(s) (eg clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including magnetic resonance guidance (List separately in addition to code for primary procedure)"
19290,"Preoperative placement of needle localization wire, breast;"
19291,"Preoperative placement of needle localization wire, breast; each additional lesion (List separately in addition to code for primary procedure)"
19294,"Preparation of tumor cavity, with placement of a radiation therapy applicator for intraoperative radiation therapy (IORT) concurrent with partial mastectomy (List separately in addition to code for primary procedure)"
19295,"Image guided placement, metallic localization clip, percutaneous, during breast biopsy/aspiration (List separately in addition to code for primary procedure)"
19296,"Placement of radiotherapy afterloading expandable catheter (single or multichannel) into the breast for interstitial radioelement application following partial mastectomy, includes imaging guidance; on date separate from partial mastectomy"
19297,"Placement of radiotherapy afterloading expandable catheter (single or multichannel) into the breast for interstitial radioelement application following partial mastectomy, includes imaging guidance; concurrent with partial mastectomy (List separately in addition to code for primary procedure)"
19298,"Placement of radiotherapy after loading brachytherapy catheters (multiple tube and button type) into the breast for interstitial radioelement application following (at the time of or subsequent to) partial mastectomy, includes imaging guidance"
19300,Mastectomy for gynecomastia
19301,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy)"
19302,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy); with axillary lymphadenectomy"
19303,"Mastectomy, simple, complete"
19304,"Mastectomy, subcutaneous"
19305,"Mastectomy, radical, including pectoral muscles, axillary lymph nodes"
19306,"Mastectomy, radical, including pectoral muscles, axillary and internal mammary lymph nodes (Urban type operation)"
19307,"Mastectomy, modified radical, including axillary lymph nodes, with or without pectoralis minor muscle, but excluding pectoralis major muscle"
19310,DELETED CODE
19311,DELETED CODE
19316,Mastopexy
19318,Reduction mammaplasty
19324,"Mammaplasty, augmentation; without prosthetic implant"
19325,"Mammaplasty, augmentation; with prosthetic implant"
19328,Removal of intact mammary implant
19330,Removal of mammary implant material
19340,"Immediate insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction"
19342,"Delayed insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction"
19350,Nipple/areola reconstruction
19355,Correction of inverted nipples
19357,"Breast reconstruction, immediate or delayed, with tissue expander, including subsequent expansion"
19360,DELETED CODE
19361,"Breast reconstruction with latissimus dorsi flap, without prosthetic implant"
19362,DELETED CODE
19364,Breast reconstruction with free flap
19366,Breast reconstruction with other technique
19367,"Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), single pedicle, including closure of donor site"
19368,"Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), single pedicle, including closure of donor site; with microvascular anastomosis (supercharging)"
19369,"Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), double pedicle, including closure of donor site"
19370,"Open periprosthetic capsulotomy, breast"
19371,"Periprosthetic capsulectomy, breast"
19380,Revision of reconstructed breast
19396,Preparation of moulage for custom breast implant
19499,"Unlisted procedure, breast"
20000,"Incision of soft tissue abscess (eg, secondary to osteomyelitis); superficial"
20005,"Incision and drainage of soft tissue abscess, subfascial (ie, involves the soft tissue below the deep fascia)"
2000F,Blood pressure measured (CKD)(DM)
20010,DELETED CODE
2001F,Weight recorded (PAG)
2002F,Clinical signs of volume overload (excess) assessed (NMA-No Measure Associated)
2003F,AUSCULTATION HRT PFRMD
2004F,"Initial examination of the involved joint(s) (includes visual inspection, palpation, range of motion) (OA) [Instructions: Report only for initial osteoarthritis visit or for visits for new joint involvement]"
20100,Exploration of penetrating wound (separate procedure); neck
20101,Exploration of penetrating wound (separate procedure); chest
20102,Exploration of penetrating wound (separate procedure); abdomen/flank/back
20103,Exploration of penetrating wound (separate procedure); extremity
2010F,"Vital signs (temperature, pulse, respiratory rate, and blood pressure) documented and reviewed (CAP) (EM)"
2014F,Mental status assessed (CAP) (EM)
20150,"Excision of epiphyseal bar, with or without autogenous soft tissue graft obtained through same fascial incision"
2015F,Asthma impairment assessed (Asthma)
2016F,Asthma risk assessed (Asthma)
2018F,Hydration status assessed (normal/mildly dehydrated/severely dehydrated) (CAP)
2019F,"Dilated macular exam performed, including documentation of the presence or absence of macular thickening or hemorrhage and the level of macular degeneration severity (EC)"
20200,"Biopsy, muscle; superficial"
20205,"Biopsy, muscle; deep"
20206,"Biopsy, muscle, percutaneous needle"
2020F,Dilated fundus evaluation performed within 12 months prior to cataract surgery (EC)
2021F,"Dilated macular or fundus exam performed, including documentation of the presence or absence of macular edema and level of severity of retinopathy (EC)"
20220,"Biopsy, bone, trocar, or needle; superficial (eg, ilium, sternum, spinous process, ribs)"
20225,"Biopsy, bone, trocar, or needle; deep (eg, vertebral body, femur)"
2022F,Dilated retinal eye exam with interpretation by an ophthalmologist or optometrist documented and reviewed (DM)
20240,"Biopsy, bone, open; superficial (eg, sternum, spinous process, rib, patella, olecranon process, calcaneus, tarsal, metatarsal, carpal, metacarpal, phalanx)"
20245,"Biopsy, bone, open; deep (eg, humeral shaft, ischium, femoral shaft)"
2024F,7 standard field stereoscopic photos with interpretation by an ophthalmologist or optometrist documented and reviewed (DM)
20250,"Biopsy, vertebral body, open; thoracic"
20251,"Biopsy, vertebral body, open; lumbar or cervical"
2026F,Eye imaging validated to match diagnosis from 7 standard field stereoscopic photos results documented and reviewed (DM)
2027F,Optic nerve head evaluation performed (EC)
2028F,"Foot examination performed (includes examination through visual inspection, sensory exam with monofilament, and pulse exam - report when any of the 3 components are completed) (DM)"
2029F,Complete physical skin exam performed (ML)
2030F,"Hydration status documented, normally hydrated (PAG)"
2031F,"Hydration status documented, dehydrated (PAG)"
2035F,Tympanic membrane mobility assessed with pneumatic otoscopy or tympanometry (OME)
2040F,"Physical examination on the date of the initial visit for low back pain performed, in accordance with specifications (BkP)"
2044F,Documentation of mental health assessment prior to intervention (back surgery or epidural steroid injection) or for back pain episode lasting longer than 6 weeks (BkP)
20500,Injection of sinus tract; therapeutic (separate procedure)
20501,Injection of sinus tract; diagnostic (sinogram)
2050F,Wound characteristics including size and nature of wound base tissue and amount of drainage prior to debridement documented (CWC)
20520,Removal of foreign body in muscle or tendon sheath; simple
20525,Removal of foreign body in muscle or tendon sheath; deep or complicated
20526,"Injection, therapeutic (eg, local anesthetic, corticosteroid), carpal tunnel"
20527,"Injection, enzyme (eg, collagenase), palmar fascial cord (ie, Dupuytren's contracture)"
20550,"Injection(s); single tendon sheath, or ligament, aponeurosis (eg, plantar ""fascia"")"
20551,Injection(s); single tendon origin/insertion
20552,"Injection(s); single or multiple trigger point(s), 1 or 2 muscle(s)"
20553,"Injection(s); single or multiple trigger point(s), 3 or more muscles"
20555,Placement of needles or catheters into muscle and/or soft tissue for subsequent interstitial radioelement application (at the time of or subsequent to the procedure)
20600,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance"
20604,"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); with ultrasound guidance, with permanent recording and reporting"
20605,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); without ultrasound guidance"
20606,"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); with ultrasound guidance, with permanent recording and reporting"
2060F,Patient interviewed directly on or before date of diagnosis of major depressive disorder (MDD ADOL)
20610,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance"
20611,"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); with ultrasound guidance, with permanent recording and reporting"
20612,Aspiration and/or injection of ganglion cyst(s) any location
20615,Aspiration and injection for treatment of bone cyst
20650,"Insertion of wire or pin with application of skeletal traction, including removal (separate procedure)"
20660,"Application of cranial tongs, caliper, or stereotactic frame, including removal (separate procedure)"
20661,"Application of halo, including removal; cranial"
20662,"Application of halo, including removal; pelvic"
20663,"Application of halo, including removal; femoral"
20664,"Application of halo, including removal, cranial, 6 or more pins placed, for thin skull osteology (eg, pediatric patients, hydrocephalus, osteogenesis imperfecta)"
20665,Removal of tongs or halo applied by another individual
20670,"Removal of implant; superficial (eg, buried wire, pin or rod) (separate procedure)"
20680,"Removal of implant; deep (eg, buried wire, pin, screw, metal band, nail, rod or plate)"
20690,"Application of a uniplane (pins or wires in 1 plane), unilateral, external fixation system"
20691,DELETED CODE
20692,"Application of a multiplane (pins or wires in more than 1 plane), unilateral, external fixation system (eg, Ilizarov, Monticelli type)"
20693,"Adjustment or revision of external fixation system requiring anesthesia (eg, new pin[s] or wire[s] and/or new ring[s] or bar[s])"
20694,"Removal, under anesthesia, of external fixation system"
20696,"Application of multiplane (pins or wires in more than 1 plane), unilateral, external fixation with stereotactic computer-assisted adjustment (eg, spatial frame), including imaging; initial and subsequent alignment(s), assessment(s), and computation(s) of adjustment schedule(s)"
20697,"Application of multiplane (pins or wires in more than 1 plane), unilateral, external fixation with stereotactic computer-assisted adjustment (eg, spatial frame), including imaging; exchange (ie, removal and replacement) of strut, each"
20802,"Replantation, arm (includes surgical neck of humerus through elbow joint), complete amputation"
20804,DELETED CODE
20805,"Replantation, forearm (includes radius and ulna to radial carpal joint), complete amputation"
20806,DELETED CODE
20808,"Replantation, hand (includes hand through metacarpophalangeal joints), complete amputation"
20812,DELETED CODE
20816,"Replantation, digit, excluding thumb (includes metacarpophalangeal joint to insertion of flexor sublimis tendon), complete amputation"
20820,DELETED CODE
20822,"Replantation, digit, excluding thumb (includes distal tip to sublimis tendon insertion), complete amputation"
20823,DELETED CODE
20824,"Replantation, thumb (includes carpometacarpal joint to MP joint), complete amputation"
20826,DELETED CODE
20827,"Replantation, thumb (includes distal tip to MP joint), complete amputation"
20828,DELETED CODE
20832,DELETED CODE
20834,DELETED CODE
20838,"Replantation, foot, complete amputation"
20840,DELETED CODE
20900,"Bone graft, any donor area; minor or small (eg, dowel or button)"
20902,"Bone graft, any donor area; major or large"
20910,Cartilage graft; costochondral
20912,Cartilage graft; nasal septum
20920,Fascia lata graft; by stripper
20922,"Fascia lata graft; by incision and area exposure, complex or sheet"
20924,"Tendon graft, from a distance (eg, palmaris, toe extensor, plantaris)"
20926,"Tissue grafts, other (eg, paratenon, fat, dermis)"
20930,"Allograft, morselized, or placement of osteopromotive material, for spine surgery only (List separately in addition to code for primary procedure)"
20931,"Allograft, structural, for spine surgery only (List separately in addition to code for primary procedure)"
20932,"Allograft, includes templating, cutting, placement and internal fixation, when performed; osteoarticular, including articular surface and contiguous bone (List separately in addition to code for primary procedure)"
20933,"Allograft, includes templating, cutting, placement and internal fixation, when performed; hemicortical intercalary, partial (ie, hemicylindrical) (List separately in addition to code for primary procedure)"
20934,"Allograft, includes templating, cutting, placement and internal fixation, when performed; intercalary, complete (ie, cylindrical) (List separately in addition to code for primary procedure)"
20936,"Autograft for spine surgery only (includes harvesting the graft); local (eg, ribs, spinous process, or laminar fragments) obtained from same incision (List separately in addition to code for primary procedure)"
20937,Autograft for spine surgery only (includes harvesting the graft); morselized (through separate skin or fascial incision) (List separately in addition to code for primary procedure)
20938,"Autograft for spine surgery only (includes harvesting the graft); structural, bicortical or tricortical (through separate skin or fascial incision) (List separately in addition to code for primary procedure)"
20939,"Bone marrow aspiration for bone grafting, spine surgery only, through separate skin or fascial incision (List separately in addition to code for primary procedure)"
20950,"Monitoring of interstitial fluid pressure (includes insertion of device, eg, wick catheter technique, needle manometer technique) in detection of muscle compartment syndrome"
20955,Bone graft with microvascular anastomosis; fibula
20956,Bone graft with microvascular anastomosis; iliac crest
20957,Bone graft with microvascular anastomosis; metatarsal
20960,DELETED CODE
20962,"Bone graft with microvascular anastomosis; other than fibula, iliac crest, or metatarsal"
20969,"Free osteocutaneous flap with microvascular anastomosis; other than iliac crest, metatarsal, or great toe"
20970,Free osteocutaneous flap with microvascular anastomosis; iliac crest
20971,DELETED CODE
20972,Free osteocutaneous flap with microvascular anastomosis; metatarsal
20973,Free osteocutaneous flap with microvascular anastomosis; great toe with web space
20974,Electrical stimulation to aid bone healing; noninvasive (nonoperative)
20975,Electrical stimulation to aid bone healing; invasive (operative)
20976,DELETED CODE
20979,"Low intensity ultrasound stimulation to aid bone healing, noninvasive (nonoperative)"
20982,"Ablation therapy for reduction or eradication of 1 or more bone tumors (eg, metastasis) including adjacent soft tissue when involved by tumor extension, percutaneous, including imaging guidance when performed; radiofrequency"
20983,"Ablation therapy for reduction or eradication of 1 or more bone tumors (eg, metastasis) including adjacent soft tissue when involved by tumor extension, percutaneous, including imaging guidance when performed; cryoablation"
20985,"Computer-assisted surgical navigational procedure for musculoskeletal procedures, image-less (List separately in addition to code for primary procedure)"
20986,"Computer-assisted surgical navigational procedure for musculoskeletal procedures; with image guidance based on intraoperatively obtained images (eg, fluoroscopy, ultrasound) (List separately in addition to code for primary procedure)"
20987,Computer-assisted surgical navigational procedure for musculoskeletal procedures; with image guidance based on preoperative images (List separately in addition to code for primary procedure)
20999,"Unlisted procedure, musculoskeletal system, general"
21010,"Arthrotomy, temporomandibular joint"
21011,"Excision, tumor, soft tissue of face or scalp, subcutaneous; less than 2 cm"
21012,"Excision, tumor, soft tissue of face or scalp, subcutaneous; 2 cm or greater"
21013,"Excision, tumor, soft tissue of face and scalp, subfascial (eg, subgaleal, intramuscular); less than 2 cm"
21014,"Excision, tumor, soft tissue of face and scalp, subfascial (eg, subgaleal, intramuscular); 2 cm or greater"
21015,"Radical resection of tumor (eg, sarcoma), soft tissue of face or scalp; less than 2 cm"
21016,"Radical resection of tumor (eg, sarcoma), soft tissue of face or scalp; 2 cm or greater"
21020,DELETED CODE
21025,"Excision of bone (eg, for osteomyelitis or bone abscess); mandible"
21026,"Excision of bone (eg, for osteomyelitis or bone abscess); facial bone(s)"
21029,"Removal by contouring of benign tumor of facial bone (eg, fibrous dysplasia)"
21030,Excision of benign tumor or cyst of maxilla or zygoma by enucleation and curettage
21031,Excision of torus mandibularis
21032,Excision of maxillary torus palatinus
21034,Excision of malignant tumor of maxilla or zygoma
21040,"Excision of benign tumor or cyst of mandible, by enucleation and/or curettage"
21041,REMOVAL OF JAW BONE LESION
21044,Excision of malignant tumor of mandible
21045,Excision of malignant tumor of mandible; radical resection
21046,"Excision of benign tumor or cyst of mandible; requiring intra-oral osteotomy (eg, locally aggressive or destructive lesion[s])"
21047,"Excision of benign tumor or cyst of mandible; requiring extra-oral osteotomy and partial mandibulectomy (eg, locally aggressive or destructive lesion[s])"
21048,"Excision of benign tumor or cyst of maxilla; requiring intra-oral osteotomy (eg, locally aggressive or destructive lesion[s])"
21049,"Excision of benign tumor or cyst of maxilla; requiring extra-oral osteotomy and partial maxillectomy (eg, locally aggressive or destructive lesion[s])"
21050,"Condylectomy, temporomandibular joint (separate procedure)"
21051,DELETED CODE
21060,"Meniscectomy, partial or complete, temporomandibular joint (separate procedure)"
21061,DELETED CODE
21070,Coronoidectomy (separate procedure)
21071,DELETED CODE
21073,"Manipulation of temporomandibular joint(s) (TMJ), therapeutic, requiring an anesthesia service (ie, general or monitored anesthesia care)"
21076,Impression and custom preparation; surgical obturator prosthesis
21077,Impression and custom preparation; orbital prosthesis
21079,Impression and custom preparation; interim obturator prosthesis
21080,Impression and custom preparation; definitive obturator prosthesis
21081,Impression and custom preparation; mandibular resection prosthesis
21082,Impression and custom preparation; palatal augmentation prosthesis
21083,Impression and custom preparation; palatal lift prosthesis
21084,Impression and custom preparation; speech aid prosthesis
21085,Impression and custom preparation; oral surgical splint
21086,Impression and custom preparation; auricular prosthesis
21087,Impression and custom preparation; nasal prosthesis
21088,Impression and custom preparation; facial prosthesis
21089,Unlisted maxillofacial prosthetic procedure
21100,"Application of halo type appliance for maxillofacial fixation, includes removal (separate procedure)"
21110,"Application of interdental fixation device for conditions other than fracture or dislocation, includes removal"
21116,Injection procedure for temporomandibular joint arthrography
21120,"Genioplasty; augmentation (autograft, allograft, prosthetic material)"
21121,"Genioplasty; sliding osteotomy, single piece"
21122,"Genioplasty; sliding osteotomies, 2 or more osteotomies (eg, wedge excision or bone wedge reversal for asymmetrical chin)"
21123,"Genioplasty; sliding, augmentation with interpositional bone grafts (includes obtaining autografts)"
21125,"Augmentation, mandibular body or angle; prosthetic material"
21127,"Augmentation, mandibular body or angle; with bone graft, onlay or interpositional (includes obtaining autograft)"
21137,Reduction forehead; contouring only
21138,Reduction forehead; contouring and application of prosthetic material or bone graft (includes obtaining autograft)
21139,Reduction forehead; contouring and setback of anterior frontal sinus wall
21141,"Reconstruction midface, LeFort I; single piece, segment movement in any direction (eg, for Long Face Syndrome), without bone graft"
21142,"Reconstruction midface, LeFort I; 2 pieces, segment movement in any direction, without bone graft"
21143,"Reconstruction midface, LeFort I; 3 or more pieces, segment movement in any direction, without bone graft"
21144,DELETED CODE
21145,"Reconstruction midface, LeFort I; single piece, segment movement in any direction, requiring bone grafts (includes obtaining autografts)"
21146,"Reconstruction midface, LeFort I; 2 pieces, segment movement in any direction, requiring bone grafts (includes obtaining autografts) (eg, ungrafted unilateral alveolar cleft)"
21147,"Reconstruction midface, LeFort I; 3 or more pieces, segment movement in any direction, requiring bone grafts (includes obtaining autografts) (eg, ungrafted bilateral alveolar cleft or multiple osteotomies)"
21150,"Reconstruction midface, LeFort II; anterior intrusion (eg, Treacher-Collins Syndrome)"
21151,"Reconstruction midface, LeFort II; any direction, requiring bone grafts (includes obtaining autografts)"
